"Player","Team","POS","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"D'Andre Swift","PHI","RB34","115.2","541.7","4.5","40.0","319.5","1.7","0.8","121.8"
"Brandon Aiyuk","SF","WR27","2.6","17.3","0.2","65.5","882.2","5.2","0.6","121.0"
"Tyler Lockett","SEA","WR28","0.2","0.7","0.0","76.3","889.4","5.5","0.5","121.0"
"Jerry Jeudy","DEN","WR29","1.4","13.9","0.0","66.8","925.9","4.5","0.2","120.7"
"Jamaal Williams","NO","RB35","155.5","719.6","5.8","16.6","116.3","0.5","0.9","119.3"
"Drake London","ATL","WR30","0.0","0.1","0.0","75.8","911.1","5.2","1.7","118.8"
"Jahan Dotson","WAS","WR31","2.9","10.6","0.1","60.1","830.0","5.6","0.2","118.1"
"T.J. Hockenson","MIN","TE3","0.0","0.7","0.0","80.9","840.3","5.8","0.5","117.7"
"Chris Godwin","TB","WR32","2.6","13.0","0.1","89.0","935.9","3.8","0.7","117.4"
"Samaje Perine","DEN","RB36","153.8","638.7","3.8","29.0","226.1","1.4","0.4","117.1"
"George Pickens","PIT","WR33","2.6","17.1","0.4","57.7","836.3","4.9","0.2","116.7"
"Gabe Davis","BUF","WR34","0.0","0.7","0.0","51.6","804.9","6.1","0.4","116.5"
"Diontae Johnson","PIT","WR35","4.3","24.4","0.0","81.0","896.5","4.0","0.5","115.5"
"Marquise Brown","ARI","WR36","1.3","8.3","0.0","76.5","878.7","4.3","0.2","114.6"
"George Kittle","SF","TE4","0.0","4.3","0.0","61.3","786.9","5.9","0.5","113.8"
"Antonio Gibson","WAS","RB37","138.2","554.0","3.5","42.6","304.0","1.4","1.0","113.0"
"Darren Waller","NYG","TE5","0.0","1.1","0.0","67.0","823.5","5.1","0.3","112.5"
"Michael Pittman Jr.","IND","WR37","2.2","20.6","0.0","77.5","856.1","4.0","0.5","110.6"
"Brandin Cooks","DAL","WR38","2.9","18.6","0.1","62.4","790.4","4.5","0.1","108.4"
"Courtland Sutton","DEN","WR39","0.4","2.5","0.0","62.4","811.2","4.2","0.1","106.3"
"Jordan Addison","MIN","WR40","2.3","12.9","0.1","60.5","779.5","4.6","0.7","105.9"
"Rashaad Penny","PHI","RB38","147.4","709.0","4.7","8.3","53.6","0.2","0.7","104.5"
"Treylon Burks","TEN","WR41","6.5","48.9","0.1","57.6","753.3","3.9","0.2","103.7"
"Kyle Pitts","ATL","TE6","0.0","0.5","0.0","59.1","780.4","3.9","0.1","101.6"
"Michael Thomas","NO","WR42","0.3","1.1","0.0","67.5","742.4","4.4","0.2","100.4"
"Zay Flowers","BAL","WR43","1.9","14.0","0.1","55.0","723.0","4.5","0.7","99.9"
"Jaxon Smith-Njigba","SEA","WR44","1.0","7.7","0.0","56.2","740.2","4.2","0.7","98.8"
"Dallas Goedert","PHI","TE7","0.0","0.4","0.0","63.5","741.6","4.2","0.6","98.4"
"JuJu Smith-Schuster","NE","WR45","0.1","0.9","0.0","72.8","778.0","3.6","0.7","98.3"
"Tyler Allgeier","ATL","RB39","143.2","659.7","3.3","12.2","88.6","0.5","0.3","96.9"
"Elijah Mitchell","SF","RB40","135.7","606.1","3.8","12.8","89.6","0.6","0.3","95.4"
"Jakobi Meyers","LV","WR46","1.1","3.7","0.0","62.6","724.7","3.6","0.7","93.4"
"Nico Collins","HOU","WR47","0.0","0.2","0.0","57.4","711.9","3.7","0.1","93.0"
"Allen Lazard","NYJ","WR48","2.0","11.4","0.0","54.5","664.1","4.2","0.1","92.9"
"Odell Beckham Jr.","BAL","WR49","1.4","17.7","0.2","51.2","650.1","4.2","0.2","92.7"
"Skyy Moore","KC","WR50","5.2","33.8","0.2","57.1","652.1","4.3","1.9","91.8"
"Zach Charbonnet","SEA","RB41","122.0","519.4","3.3","22.4","174.5","0.7","1.0","91.1"
"Tyler Boyd","CIN","WR51","1.4","8.1","0.0","58.0","684.7","3.6","0.2","91.0"
"DJ Chark Jr.","CAR","WR52","0.1","1.1","0.0","46.6","688.3","3.5","0.1","89.7"
"Ezekiel Elliott","NE","RB42","135.4","519.3","4.1","17.2","115.5","0.5","0.7","89.4"
"Michael Gallup","DAL","WR53","0.0","0.2","0.0","50.1","632.5","4.4","0.1","89.2"
"Marquez Valdes-Scantling","KC","WR54","0.6","1.7","0.0","42.4","657.2","3.8","0.1","88.4"
"Pat Freiermuth","PIT","TE8","0.0","0.4","0.0","60.3","640.0","4.1","0.2","88.3"
"Evan Engram","JAC","TE9","0.0","5.8","0.0","62.6","653.9","3.6","0.2","87.5"
"Jaylen Warren","PIT","RB43","112.3","499.1","2.5","25.0","202.9","0.5","0.4","87.4"
"Zay Jones","JAC","WR55","1.8","8.0","0.0","61.3","637.6","3.8","0.2","87.1"
"Darnell Mooney","CHI","WR56","1.7","8.9","0.1","52.8","639.9","3.7","0.1","87.1"
"Kadarius Toney","KC","WR57","9.7","82.0","1.1","45.4","512.5","3.6","0.6","86.4"
"DeVante Parker","NE","WR58","0.0","0.2","0.0","47.1","649.3","3.6","0.1","86.3"
"Damien Harris","BUF","RB44","115.2","514.6","3.5","18.2","120.1","0.4","0.7","85.4"
"Romeo Doubs","GB","WR59","0.6","5.5","0.0","55.9","638.2","3.7","0.7","85.0"
"Adam Thielen","CAR","WR60","0.5","3.7","0.0","54.1","610.3","3.9","0.1","84.4"
"David Njoku","CLE","TE10","0.0","5.2","0.0","52.8","578.2","4.5","0.4","84.4"
"Chuba Hubbard","CAR","RB45","107.6","507.6","2.9","17.6","149.0","0.4","0.7","84.4"
"Quentin Johnston","LAC","WR61","2.2","12.9","0.1","47.0","628.5","3.4","0.7","83.3"
"Jonathan Mingo","CAR","WR62","1.1","11.8","0.1","48.7","640.4","3.1","0.4","83.0"
"De'Von Achane","MIA","RB46","111.7","450.9","3.0","20.7","166.6","0.8","0.9","83.0"
"Rondale Moore","ARI","WR63","12.8","58.5","0.2","64.6","632.4","2.1","0.4","82.2"
"Van Jefferson","ATL","WR64","0.6","4.3","0.0","44.7","615.2","3.4","0.1","82.2"
"Chigoziem Okonkwo","TEN","TE11","5.0","18.5","0.2","46.7","569.2","3.7","0.1","81.9"
"Kenneth Gainwell","PHI","RB47","93.9","409.9","3.6","22.1","164.9","0.6","0.6","81.3"
